Signature,V1_Type,V2_Side,V1_InputSymbol,V1_OutputSymbol,V2_InputSymbol,V2_OutputSymbol,V1_InputAmount,V1_OutputAmount,V2_InputAmountNormalized,V2_OutputAmountNormalized,V2_Confidence
di1vtrFev8sZfcniV2rDxoXD3frcs9KeNkuvNwhxkUSDk8vrMjjzTudh7pBrEfyiSBoqGsKbQdTzG874wyizNtB,buy,BUY,USDC,Unknown,UNKNOWN,UNKNOWN,250,901948.295916,0.000250,0.901948,MEDIUM
2tuxDAdJNy2oYNEhPJZEcBfPY2gRADcf7ZRzv837kk7KD2X24qQffL4ZZRUEg2rGSfex2E3hnCB6npyJSgQ8iRYo,both,SWAP,ELUN,ELUN,UNKNOWN,UNKNOWN,3547419.650708,1153638.263889,3547419650708,1153638263889,MAX
5FohEH8EvfZegoFKpsbHVrwdUPDVHaaSykUhaWnZZ5DDUtfBZxiGs4QBaiB1g279sDGmZ4ArxjzV7rFLckAtPL4n,buy,BUY,USDC,Unknown,UNKNOWN,UNKNOWN,500,34633.665899,0.000500,0.034634,MEDIUM
4LaUh8PMpqWZo7txvvmbEBXFDxXAtWTbW4wVRDoV2pUQCjKzFm7XvaEmxo3thanpeJ5UjafW9odsagVZfJ1xynnH,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,19525.796199,1.98863292,19525796199,1988632920,MAX
NpHRo2dUhoXVXf9BoFYtSpaVYNVqgMcLobtvH5wDvmJxMQMqBtCVbffSimyqe6mkiHAyi2s7wwzfEK1PB49yM3W,sell,SELL,JitoSOL,SOL,UNKNOWN,UNKNOWN,1947.927425373,488.021788466,0.000002,0,LOW
PBg465Aa7E2sqvF4sgF9HM11Kbej9t1cm68yctKCLAME2hTwcAHyd8WLytNoCpkZe4kvXaGiVCdTXeJsmjRKqpJ,sell,SWAP,Bonk,SOL,UNKNOWN,UNKNOWN,28797983.09804,1.995723204,2879798309804,1995723204,MAX
4PBSYrWkZ2bUqhR3sfZdWW1sH9xopVbTiqirWXSAgQHUXY3mKjMAk5cSKmwdFcGTCdnNJwxb69xrSsAM3TyanPiN,sell,SELL,WhiteWhale,USDC,UNKNOWN,UNKNOWN,3663,0.167792,0.003663,0.000000,MEDIUM
4mnnSD7gwcMcCvC2qgPwBfxaNSzdBSrj6L1h7TzZFxnatKbqjup1bdceMkxDnUwzUJHjyefSLLdHV1UHg96d1otW,buy,SWAP,SOL,WhiteWhale,UNKNOWN,UNKNOWN,2,2562.254039,2000000000,2562254039,MAX
2kFgAVa3b6vW8Py683bo9s2g7wXnvCwVA1WAtK2AsFXMrAqJGpixTihoaixS989ZJeDrw1MxAjRyTWuBCnnsbL5W,both,BUY,Unknown,Unknown,UNKNOWN,UNKNOWN,129457.145544,926814.602106,0.000000,0,LOW
cqbfXMriZZNxvZwCkE9Ys1AVfhysg5vvjbjwAWYs8EDCpixSHyKNDDYNi1cTzM23qaxc7Mp1U4wHL9HLsNrtcgR,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,19520.380822,1.988633129,19520380822,1988633129,MAX
3BrPLLtcoNWrY8wACxcmX9DYYFmfTKw5YfkecqSuZxDkbCxdch4j6qTwXYYD3BCA2K1b8Rmy9C8sqyivCVwm4iSg,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,19574.184834,1.984453597,19574184834,1984453597,MAX
2w7vMN7saYrrtTRhDu7xCq759yJRQnaHL6b2t9PLaLgMM65ju9UTyG2Ab8Brf3uheuDKVHttZz5rGTJ8JmsPHFBf,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,19705.396875,1.98862662,19705396875,1988626620,MAX
3mNQboBP16EiugKmPMndTYDaKef5jnZj1Vskar6dnJKVWJCamaLinfKpujhgFahWbAYMJKjQNnQzPVZ964fv5oag,buy,BUY,USDC,pippin,UNKNOWN,UNKNOWN,0.183275,1213.73,0.000000,0.001214,MEDIUM
5QU6dMXe8EtMEKSTWdF25pNZe6svHPu3SBcNvLnx7hk5HnvDNJb8CA1tiWvLwTUgYZfKwnpY7FPDFzdtCJjP6tpF,buy,SWAP,SOL,pippin,UNKNOWN,UNKNOWN,3.3,1906.293588,3300000000,1906293588,MAX
5KBBxEegk3xmjvHd5ZpSLhHdYJUdQq8wf7u6DLj8Mk2v43mA22goqbYF4uZrdoFeMTjBg5YDR4toRGqqTA3PZ7BE,buy,BUY,USDC,pippin,UNKNOWN,UNKNOWN,1.870256,4823.51,0.000002,0.004824,MEDIUM
2F8xKqH3Lmsr8wb16hpqGDgiThj4YooAhxS4Bt1MTa1Ai3Mo9mjKKFxtd47ZTJUmsHyHn3rtMYLft6TfnpbFL23P,buy,SWAP,SOL,pippin,UNKNOWN,UNKNOWN,3.3,1900.950062,3300000000,1900950062,MAX
5rCEtiNNF1WS6FAWeY4AXS9ft1svMeaNrCmGtbK4tP58j6UaWfCB8hb2UNpNhiKHKkLhGAZLuqTTLPdCE2XATUK8,buy,SWAP,USDC,CARDS,UNKNOWN,UNKNOWN,226.910663,4807.534201,226910663,4807534201,MAX
3PZvRdE53zrj7R6K679BpkcAdQF2nMTpabGLYkQp5yYsZLcnWsvjSesre1ZHAQyLiQMoHB5KeTQTknUFbjVJHE8A,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,29524.707381,2.970590035,29524707381,2970590035,MAX
JDb82udWZ97xx4H4j4QA4ER8QoemyqRy3uUchBAzCvDXNHeU2jAgnLLofUMKN5ETLB6bZbZ4NP7P4pFMSNdjUcZ,sell,SWAP,cbBTC,USDC,UNKNOWN,UNKNOWN,0.005,386.11786,500000,386117860,MAX
45qL138T1zxsa7J4PJDzmqXA4PjZt6dcEQN1b8VNZUL1acqeTJZk5kPBKmwDSUvjKxiMvQJmRrnd9EDAyfNbfsUz,sell,SWAP,cbBTC,USDC,UNKNOWN,UNKNOWN,0.003,231.658311,300000,231658311,MAX
4BBCfaLUYGBhj8Up2byXcZWDfkPsrQLoKBrg1bFNpL8PJhEPmtLqCUP7qMrZcCnz1JjDtEr9BjvoD1WRqLXo2hyu,sell,SELL,WhiteWhale,USDC,UNKNOWN,UNKNOWN,3078.7,0.034523,0.003079,0.000000,MEDIUM
47BZZK6BGRXj6tQy2DryJ7vQhBGPKNByxYFkJM9eY7L1TSq5R8kzGCfYKPXUaFwFozv1vP3oQL3RJ3fP1awmqnVM,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,19782.148602,1.988623937,19782148602,1988623937,MAX
5QGy6xhmfYHyyxu7qmQqCgrJwTBcHp7GjBDDZHMFUMj2DBRRvh8kiNqVvu6jupBTRapiHnWzL2ptP4md8fprF12p,sell,SWAP,AVA,SOL,UNKNOWN,UNKNOWN,49498.460811,4.966355775,49498460811,4966355775,MAX