Signature,Timestamp,Side,Input_Token,Output_Token,Input_Mint,Output_Mint,Input_Amount,Output_Amount,Whale_Address,Confidence,Source
"44Y9rBCv3wjGvEZPcpp3KYrumYhxj14mLJEu3vfay3MB1NjHwQCPRPfXyWL3RqN9ohaKVLgk4GhU5Q4ez5jVisPQ","2026-02-04T13:52:05.206Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.163512","799.640931","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"3PgPVBxFKE43Y356WuMHrkCHDAQyb8oqYdkuvQwsqdCX65a4fMudswy5n7zKaMJc15Ai9EZbzAJ8tFwgwuJHnQU1","2026-02-04T13:52:19.094Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","25.002039","189130.097469","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"4GY2jbv6k3cCPhGXGkL5EGB3LNZLG7oer8hZ8rzKfdaHa2SmtoZRudvtaTXdcxDVqokcsUMhvJ7qE9vwEqD3BxWD","2026-02-04T13:52:22.050Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.198763","799.671118","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2jkoZTfzsPs4DWDnMCnK7z3UHJkc2mLYUJhcNCkGJTPqjQ41LpAkzeYQwTVC1qxpdXUa9djsyNpz5obJ1Z9grAMY","2026-02-04T13:52:41.926Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","25.002039","200942.235971","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"5w53s7joVs16iv8Ly9mqEyxdVNNjHNuKpEnHkpgipzGasgGDhqNExMLxQ6qS5EHMbu8c6yp9FyWbJe4bsRGh2Fgo","2026-02-04T13:52:51.697Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","1.982039","15628.789836","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"2AWdrFzFFqUWM1pTcW3G9PqySaCFisFWSLnUjz8jvsPbutfe6we5NEwxrmHCCzkbXx9vhHiope8Azh9zMAYqcWbf","2026-02-04T13:52:52.746Z","BUY","SOL","7VLL...pump","So11111111111111111111111111111111111111112","7VLLP8r771zV8JC6hGMS2Fedn7AJT8feHggxDDYSpump","1.502039","12773733.811218","9Z1B8jH89adkh2D6zMfmoLnTEcHXYCCJSNTL83w5SEpL","100","v2_parser"
"3CgLh22Zdrk43fig2CE6UNXLkuLRxJXU9whSQvXjboikwTwZinK2BHHk2r5WkexhDAtkJXQtQFb1uHijVY75Trrv","2026-02-04T13:52:54.089Z","BUY","SOL","9S8e...pump","So11111111111111111111111111111111111111112","9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump","1.032555","32083.535669","8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj","100","v2_parser"
"63T799RUwKEh7uNnDzQAafZDBvwZ1tCfmSv5MbCQ8cA7y6EPxNbdj7W2DMnayF5vKTYMu6LptEcNMBCRqy5z9rph","2026-02-04T13:52:58.079Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.348125","799.679631","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2gGRjNrjSyqYrSyfSyJtbCsbyJBWE7H4GZZtf66sUY1TASTXmnD3ktuUY1Mz8WA6nNyH5SmVbTnEqpYw6xd2ES8V","2026-02-04T13:53:01.354Z","BUY","SOL","AWc8...BAGS","So11111111111111111111111111111111111111112","AWc8uws9nh7pYjFQ8FzxavmP8WTUPwmQZAvK2yAPBAGS","0.100000","983379.231013","RFSqPtn1JfavGiUD4HJsZyYXvZsycxf31hnYfbyG6iB","100","v2_parser"
"35KhMH3cSy4dCfpEHiatPsguXtP6vRT2b9u1RjvCwhgXABFsVmDcB3kQYDQhURZ1Ba1v5HYPgDPmSV2JAvwvD2Aj","2026-02-04T13:53:02.342Z","SELL","J6pQ...Mfvd","USDC","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","800.000000","85.377000","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"4ULCz4X4rXdp18Z5PNVd1K4Dyx2AE326qQinPJHYGMPXTzhiKjGXVWajsWXfehq8J9yD5Y3U7ZhFykPtuWhUPvrL","2026-02-04T13:53:02.692Z","SELL","J6pQ...Mfvd","USDC","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","800.000000","85.356089","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"33DmHZ3mm2PMaWJMDKeHM7xMqjDYBS3debW5NowtbbSmMcBtVraHFmr2sejkzCZ1QxqKhCyhj7bw7XgLi8ANHEst","2026-02-04T13:53:04.870Z","SELL","J6pQ...Mfvd","USDC","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","800.000000","85.338973","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"3VZFHgtZFnHiXjJYH9Az5gWYJcaQ5sSTWWLDH5Spkcc6oQqgMFWtPYMvcBQk14XBevG1oY7BcpQ6z5iMrjh3Jdd5","2026-02-04T13:53:10.133Z","BUY","SOL","Evd5...pump","So11111111111111111111111111111111111111112","Evd5GawkmP4Vo9YKpBdPSCMwZQvL27QguBt7nKXqpump","1.032595","577978.513724","8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj","100","v2_parser"
"2sW1eTAgxZLcvyBmkHGyjx7BXwH8yzUs7J8TLrcAQfe97SLQzCPLRt8Jqu6zrMJDUahfTL3JPyeCCw3rLzuwAcck","2026-02-04T13:53:31.031Z","BUY","USDC","A7bd...QXaS","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","54.419660","0.199200","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"3xCcp8uZpc9xAzGgd8NcgLb3TjC2h2yL6QTDXMSSY8vvicdJhVdpdqkdeLQxgjaiaixXhSbTG921vXFmzvypp4ep","2026-02-04T13:53:31.260Z","BUY","USDC","A7bd...QXaS","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","54.419660","0.199200","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"34HofDkdKuKT8S3vNSDVuHPcwwjK9Eec46479LqaZVBxiwTczPpCvvVLY6BM7rBwpUpNeNKnKWREbs6BAQRqHoSY","2026-02-04T13:53:31.381Z","BUY","USDC","A7bd...QXaS","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","54.419772","0.199201","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2zdJZsfUw1mVcY8CQNq4AHWAZk8JvSr8aUfgdifmJZrJWYMnuTX5dZ2uHTgzK6Pw8myJdZva2KCxeAU2f9SXiFKM","2026-02-04T13:53:31.660Z","BUY","USDC","A7bd...QXaS","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","54.419660","0.199200","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2xzECaoNGMnventnSfPqByRHDu8c8Q51rTrWg5dZAUYSQhLUsiZvzyWyronJ1FewcCr2vR1deoetD9a8jmSYt4Ed","2026-02-04T13:54:02.426Z","SELL","SKRb...ZhW3","SOL","SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3","So11111111111111111111111111111111111111112","5399.521001","0.994008","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2U8FTKbLzKaihHVj8EHSqB3t3wuib8eNNyhhDfyGJeYrCNj9geQUW21cwjtFieGG8czg9hWobubvkpazaDCU69za","2026-02-04T13:54:06.975Z","SELL","SKRb...ZhW3","SOL","SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3","So11111111111111111111111111111111111111112","10820.552167","1.991976","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2EXUMYpJFnfNKVPPSf9fiJsYJGTPRfFgZk4bAYVA2HXD82YLihTji2NrCa4CZpqjtHyvTQYskzySpG7LzP2TEpcp","2026-02-04T13:54:28.502Z","SELL","8oCR...oPhX","9S8e...pump","8oCRS5SYaf4t5PGnCeQfpV7rjxGCcGqNDGHmHJBooPhX","9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump","75480.718547","2000000.710352","8Nty9vLxN3ZtT4DQjJ5uFrKtvan28rySiGVJ5dPzu81u","100","v2_parser_split"
"42U1GMCYtxZRE7yUVqJH3N59gKmM9axDexBmT3H5P46o3yzcTQtoDQL3CDpFg9tKaQsVMn6JGGTWW9kRFVg3316W","2026-02-04T13:54:29.576Z","SELL","Cm6f...pump","USDC","Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","100000.000000","2466.613338","92PjuUhGoLoC4gMErfkRvWumZv9dDfMwWPisx8ZsEuc2","100","v2_parser"
"4b9ZwEkNe6kMwn3WEWUhinndoQ2Q2TfDXBskJ5qz2kPxUACnis7gbEFX3sj7TL2oPaiY2hmU1SJDGK9kyPbNBRgy","2026-02-04T13:54:37.576Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.999539","11323985.642316","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"5ggzZrpMHPuU5tGW2i9fhXujQ3XyVT7pTcniSi9Qq2MDNQ7xxffvExcEe4zimicMtgZx1sLjzXkmZijfVbEeYdrG","2026-02-04T13:54:40.191Z","SELL","BaWy...BAGS","9S8e...pump","BaWyD9P8ctkZ6if2umqj7htV91YuuouzUrMFsJh9BAGS","9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump","223792.359671","23990430.556130","8Nty9vLxN3ZtT4DQjJ5uFrKtvan28rySiGVJ5dPzu81u","100","v2_parser_split"
"5vfshXU39k9mbvJ7Pzj4JTsPB1sKsPACC9qiBaTpFdWeNy7umpYm61hMESD2JT2744ynqm7hkQsrtejjeqE7pV8r","2026-02-04T13:54:46.285Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.201539","2309835.188494","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"2Y1U5JZSGFFQ6VaWNdzu4Ub6V1994KpHseRQa6wxqtg6R1ruQwjhfndwGEzBW3bgL7Wg6DERtDe2VJRLXqmfHSYb","2026-02-04T13:54:47.987Z","SELL","2LzL...pump","USDC","2LzLh5pHg3nDQz6goTLAvDXfDbSBgAR8qem3bdXdpump","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","155000.000000","266.784652","BBmPGSipqCFsicbTYi9i2aiw79drSoEajQkTG4KUQ9R7","100","v2_parser"
"5SE6SyfMp9jL3RHaFWVbNrNzJbQEjDQX1TrypNHVmUtb2nGDZ3x5oCZxC6PYbq6wv2qDpJraCV9Zf8ruU9wri3Jq","2026-02-04T13:54:51.918Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.201539","2261364.482985","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"tNPRCSfToa69eTDJ4nGdYhveteH4EbN6WBWZz6qS5tcaHpRhf8VxNYnvbsUYEk4H9rjbnN58Afax6xT5YtUQpRN","2026-02-04T13:54:57.246Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.201539","2249527.780741","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"5s2miJqSvsD2dqbKUDwTM1swYnCkjPb1mSAePYn44YSMoPt14nHwpBuoZR4CDNv2grjsWXU5WZa6jnuGHQCkx3g1","2026-02-04T13:55:01.883Z","BUY","USDC","Frb1...pump","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","Frb19EyJFno8Wdp621aMhA5d9b5y9mtVW4pWcwBbpump","93.641897","3151297.417499","FQmEx5es76MQyXJ2x7z6w4SneN7rB6P3MX82FmMAL3GV","100","v2_parser"
"2FGn842ZBEfXxRj3EhbJBWWNQvrwtoEaxp1bTN5qfDjpbyD5hmWMGVcSxZ6xKFtgRWrzKbzqRRv8zLkBkF7mrzJ7","2026-02-04T13:55:04.384Z","BUY","SOL","HUMA...wvGw","So11111111111111111111111111111111111111112","HUMA1821qVDKta3u2ovmfDQeW2fSQouSKE8fkF44wvGw","1.000000","4742.150702","FE2MHWLTSmndBUWbbtmnfUfoKrn9NKtDCDGxCPG2h9Dy","100","v2_parser"
"4seQcE6Bnep4xsvo9bsCEXYRyLA6noAKKRLHRTS8NXE2Dowsz74egqKARraHdF8vaBmALkMPM3cftQpFivthd5SM","2026-02-04T13:55:09.201Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.999539","11067513.904284","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"DHDqReTSRHfBX1nkBewrgU8MmTnCfmmSedPEsnWLnsRFJdpUyhAN9q6fasACnTauk8rUT7NSaLvEY8wc7xYvjVn","2026-02-04T13:55:11.746Z","SELL","SKRb...ZhW3","SOL","SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3","So11111111111111111111111111111111111111112","10842.171217","1.985896","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","100","v2_parser"
"3Xhfn8NJRf9pSk4YybYRW52mxZniZBQVtQzh2CwWxvZm37f4hpLSmnknfV6VBpdkwXgo69cuw85BizqJTGxXuUEm","2026-02-04T13:55:12.792Z","SELL","SKRb...ZhW3","USDC","SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","6000.000000","103.875899","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","100","v2_parser"
"3c4F8DQ4KevuALXuSyytmu4CRduzhHMgdwzQV4wbyWDzwEPLnDXgzxfUALxGZF7rg8SUcrCkqvNgd1VTiNm2dVd5","2026-02-04T13:55:18.857Z","BUY","USDC","Dvjb...XvgV","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV","280.000000","68166.396191","FE2MHWLTSmndBUWbbtmnfUfoKrn9NKtDCDGxCPG2h9Dy","100","v2_parser"
"3Xrasm33YS3yALUuqX6gVdzhzpUkBV2FkwuRwC3KwK6RXxwXDP6b7ovzBEoHKdVjk8bQVBGSxZRmjFxTzw5MGxQ4","2026-02-04T13:55:23.571Z","BUY","SOL","XiMd...UYvp","So11111111111111111111111111111111111111112","XiMdiZe6t28osKwuzJ67VMx8MaoRRJtvpc6jA1DUYvp","0.999539","10724382.092074","69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9","100","v2_parser"
"3RgDmCNJH2RQ3TSsfyVLk2HAm9hJjKR3HZ4xSVRieEsK5LQ9HHYW6v2TnPhncrEeiX2s4uGaSLq6GpwsdfCYqPcn","2026-02-04T13:55:42.120Z","SELL","Cm6f...pump","Frb1...pump","Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump","Frb19EyJFno8Wdp621aMhA5d9b5y9mtVW4pWcwBbpump","6352732.980813","7956.000000","FQmEx5es76MQyXJ2x7z6w4SneN7rB6P3MX82FmMAL3GV","100","v2_parser_split"